"Component Count:","41",,,,,
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","1000uF","CP",,"Polarized capacitor",
"C2, C7, ","2","0.1uF","C_Small",,"Unpolarized capacitor, small symbol",
"C3, ","1","10uF","CP",,"Polarized capacitor",
"C4, ","1","0.33uF","C_Small",,"Unpolarized capacitor, small symbol",
"C5, ","1","22uF","CP",,"Polarized capacitor",
"C6, ","1","47uF","CP",,"Polarized capacitor",
"D1, ","1","R","LED",,"Light emitting diode",
"D2, ","1","G","LED",,"Light emitting diode",
"D3, ","1","B","LED",,"Light emitting diode",
"L1, ","1","3.3uH","L",,"Inductor",
"MK1, ","1","Electret","Microphone_Condenser",,"Condenser microphone",
"Q1, Q2, Q5, Q7, ","4","2N3904","2N3904","Package_TO_SOT_THT:TO-92_Inline","0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92",
"Q3, Q6, Q8, ","3","2N3906","2N3906","Package_TO_SOT_THT:TO-92_Inline","-0.2A Ic, -40V Vce, Small Signal PNP Transistor, TO-92",
"Q4, Q9, Q10, ","3","MCU80N03","MCU80N03","Package_TO_SOT_SMD:TO-252-2","N-MOSFET transistor, gate/drain/source",
"R1, ","1","10K","R_Small",,"Resistor, small symbol",
"R2, ","1","470K","R_Small",,"Resistor, small symbol",
"R3, ","1","8.2K","R_Small",,"Resistor, small symbol",
"R4, ","1","22R","R_Small",,"Resistor, small symbol",
"R5, R6, R8, R9, R10, R11, RV1, ","7","1K","R_POT",,"Potentiometer",
"R7, R12, R13, ","3","560R","R_Small",,"Resistor, small symbol",
"U1, ","1","WeMos_D1_mini","WeMos_D1_mini","Module:WEMOS_D1_mini_light","32-bit microcontroller module with WiFi",
"U2, ","1","L7805","L7805",,"Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252",
"Fuente de 12V 3A",1,,,,,
"Protoboard",1,,,,,
"Tira LED de 12V",1,,,,"Esta tira led corresponde a los leds D2, D3 y D4",
